city,n_held,n_days,rmse_Bud0,rmse_Bud1,w_Bud1,rmse_Bud2,w_Bud2,rmse_Bud3,w_Bud3,bottom,coast_km,coastal,frac_reference,band,cls
446,4,474,21.730966493794153,5.666499501810353,1.0,5.666499501810353,0.0,3.1951565045633363,0.8,Bud0a,198.42221537596726,False,1.0,deep_tropical,reference
403,4,412,20.009875081784312,4.51014671201939,0.9750000000000001,4.451404576112884,0.45,3.2843670992988985,1.0,Bud0a,19.34940508526907,True,0.0833333333333333,deep_tropical,LCS
391,4,315,46.606845920819566,23.839617947438686,1.0,22.650541653801547,1.0,21.227442957588963,0.8250000000000001,Bud0a,378.1536192715773,False,0.0833333333333333,deep_tropical,LCS
921,4,546,9.863392553091561,8.310725213772145,0.75,8.31116169345306,0.07500000000000001,5.156065511957789,0.925,Bud0a,15.957262570553482,True,0.0833333333333333,deep_tropical,LCS
1733,4,333,16.19205425217437,16.19205425217437,0.0,15.025458657097923,1.0,9.632154390882627,1.0,Bud0a,33.50245673062629,True,0.0833333333333333,deep_tropical,LCS
1802,3,542,30.64982176814611,7.077512345699256,0.925,7.049336376401092,0.275,6.617484650840689,0.7250000000000001,Bud0a,23.568775697042113,True,1.0,deep_tropical,reference
1816,4,522,19.65877288436332,12.344000117295604,1.0,12.27645204006635,0.4,11.919914201867856,0.525,Bud0a,7.876596180499262,True,0.0833333333333333,deep_tropical,LCS
2095,4,280,18.072026807540826,8.443309886082517,1.0,8.443309886082517,0.0,8.443309886082517,0.0,Bud0a,11.108571181351355,True,0.0,deep_tropical,LCS
2063,3,546,17.67675835738235,7.410160741871486,1.0,7.410160741871486,0.0,7.410160741871486,0.0,Bud0a,8.14359117018883,True,0.4545454545454545,deep_tropical,LCS
2106,3,442,13.822174427056773,11.46670320964803,1.0,11.46670320964803,0.0,5.889419704052966,0.8500000000000001,Bud0a,35.73773654645156,True,1.0,deep_tropical,reference
2146,3,518,18.011702734170694,13.582575336122227,0.9500000000000001,13.582575336122227,0.0,6.5227895682771,0.9750000000000001,Bud0a,262.09383330460247,False,0.0909090909090909,deep_tropical,LCS
930,4,452,22.01427261912108,20.13950998822729,1.0,19.817939979866143,1.0,15.945734106649034,0.8250000000000001,Bud0a,8.959249736016353,True,0.0,deep_tropical,LCS
2324,3,288,45.67462436271926,25.94906522669462,1.0,21.373789118982618,1.0,21.033517632706715,0.17500000000000002,Bud0a,910.955252963353,False,0.0909090909090909,deep_tropical,LCS
city314,16,1095,17.750227757318342,17.750227757318342,0.0,17.66878767861687,0.8500000000000001,6.617929357824274,0.9750000000000001,Bud0a,901.6508885158919,False,,,LCS
city004,7,1095,17.875602758286377,17.475311148266037,0.775,17.067204772034458,1.0,7.732298422000121,1.0,Bud0a,44.92964955662851,True,,,LCS
city283,5,1095,32.66830718403911,29.838630856774873,0.9,29.838630856774873,0.0,13.919652336328028,0.9750000000000001,Bud0a,1075.803776406309,False,,,LCS
city143,5,1095,21.973436535912,21.685270100045127,0.45,21.435969334074176,1.0,9.025813865187244,1.0,Bud0a,1103.2916686571864,False,,,LCS
88,4,546,22.727598983334918,1.8616944185137334,0.9750000000000001,1.829906598370173,0.9500000000000001,0.8971332330020461,1.0,Bud0a,20.721026216354243,True,1.0,subtropical,reference
67,4,219,19.112874818271866,2.0922898947293467,0.9500000000000001,2.0880220147449773,0.25,1.722004642211004,0.925,Bud0a,28.223643838749062,True,1.0,subtropical,reference
405,3,542,24.623911882434566,16.56473691945203,0.9750000000000001,16.410091472714377,1.0,5.8780112559953,1.0,Bud0a,114.8746682102739,False,0.9,subtropical,reference
1058,4,487,77.24678340555336,53.58809064122252,0.9750000000000001,53.576485842612755,0.17500000000000002,30.332432414161584,0.9500000000000001,Bud0a,952.4600029738391,False,1.0,subtropical,reference
1667,3,308,25.764016381663623,10.742150851879952,0.9500000000000001,10.22030690840819,0.925,8.508949407261568,1.0,Bud0a,320.04521538258405,False,1.0,subtropical,reference
1827,4,376,31.15467116809331,26.743092899115865,0.65,26.71304714298556,0.275,15.057043939460522,0.9500000000000001,Bud0a,11.332522150916471,True,0.0833333333333333,subtropical,LCS
3147,3,518,17.731667106926917,12.958109069361594,1.0,12.958109069361594,0.0,,,Bud0a,4.114881494081249,True,0.5,subtropical,reference
city044,9,1095,21.914932432016194,21.882953818476146,0.2,21.81892407126629,1.0,11.768622860084516,1.0,Bud0a,187.09967748134406,False,,,LCS
city090,7,1095,26.562399517364618,23.809159284337053,0.875,23.809159284337053,0.0,12.159503199570096,0.925,Bud0a,52.191381386381394,False,,,LCS
city251,6,1095,26.962869770490183,24.33082166500068,1.0,24.206456654657817,1.0,10.697683843538483,1.0,Bud0a,345.55786857280344,False,,,LCS
city203,5,1095,22.87909641485098,21.39331089647618,1.0,21.34666482360983,1.0,10.735070368822365,1.0,Bud0a,189.74864052738926,False,,,LCS
406,4,542,19.549648639210247,12.855910415269683,0.925,12.71813506375608,0.9,7.824226172882027,0.925,Bud0a,3.3127552542367624,True,1.0,temperate,reference
758,3,534,19.5771228640343,4.618043950998292,1.0,4.61145438304634,0.2,3.113018121105257,0.9500000000000001,Bud0a,46.06627048209233,True,1.0,temperate,reference
1383,4,545,21.889988041495187,4.193425407203502,1.0,4.183023459886225,0.5750000000000001,1.5989498122493553,1.0,Bud0a,14.11746926263503,True,1.0,temperate,reference
1504,3,524,18.181027814301846,18.181027814301846,0.0,18.02915331989973,0.7000000000000001,12.364564840889154,1.0,Bud0a,2299.7342128577284,False,0.0909090909090909,temperate,LCS
1653,3,519,13.77557677055825,7.1629125591334075,1.0,7.1629125591334075,0.0,4.062318895928909,1.0,Bud0a,103.34493346774192,False,0.6,temperate,reference
885,4,515,15.572803635220813,10.411872538775743,0.8250000000000001,9.994380361082017,0.525,8.123358391359575,1.0,Bud0a,85.84166444862483,False,0.0833333333333333,temperate,LCS
2328,4,546,36.28615405343425,2.5818547839791828,1.0,2.4135155752912265,1.0,1.6344575616503494,1.0,Bud0a,56.73002645075357,False,1.0,temperate,reference
city123,7,1095,14.615782517262232,10.211517124331792,1.0,10.205023288394154,1.0,4.137811842481821,1.0,Bud0a,84.2065272061899,False,,,LCS
city216,5,1095,12.571750800900523,9.233040242550764,0.8,9.232452500416098,0.1,4.759933752756736,1.0,Bud0a,29.759571981438413,True,,,LCS
city049,3,1095,14.870591367276933,14.535747885547789,1.0,14.523330084597953,1.0,5.724909600017365,0.9500000000000001,Bud0a,121.57361672336938,False,,,LCS
210,4,299,26.498723522766525,4.24359545581893,1.0,4.230361907150061,1.0,2.3639828596393473,0.925,Bud0a,14.827171822489005,True,1.0,tropical,reference
959,4,514,11.079413014841531,7.383864445884102,0.8,7.379924855209111,0.1,3.60523302202836,0.9,Bud0a,7.216825695073571,True,1.0,tropical,reference
1078,4,487,57.838410373781926,52.26956969424263,0.775,52.10223589502444,0.17500000000000002,52.097735109161924,0.05,Bud0a,10.357399318481102,True,1.0,tropical,reference
1063,4,539,26.9712143233472,23.47844861181243,0.9750000000000001,23.41757918054238,0.42500000000000004,21.775162523350787,1.0,Bud0a,276.38640226994573,False,1.0,tropical,reference
1067,3,487,30.20955705485258,24.08205185392329,0.5,24.08205185392329,0.0,17.999886957307723,1.0,Bud0a,94.50922289893353,False,0.9090909090909092,tropical,reference
1507,4,484,27.108475175182875,26.428362522306397,1.0,25.489364668251135,1.0,13.080800985997836,1.0,Bud0a,359.6815396132986,False,0.0833333333333333,tropical,LCS
1677,3,401,60.33291882548378,60.2619129894499,0.17500000000000002,60.18547755490411,0.5,,,Bud0a,214.1659836668062,False,1.0,tropical,reference
2115,3,546,28.365556518275728,24.498732724578957,0.9750000000000001,24.4361580243331,0.225,7.33234142603656,1.0,Bud0a,289.94808524566434,False,0.3636363636363636,tropical,LCS
2168,4,518,54.01332863032493,53.91524835714039,0.9750000000000001,53.91497266934059,0.07500000000000001,33.77939430777321,0.875,Bud0a,304.29840612412215,False,0.1666666666666666,tropical,LCS
3133,4,219,32.96231077024079,30.85451975764391,1.0,29.902922815457085,1.0,25.889846205459747,0.875,Bud0a,99.04434287495553,False,1.0,tropical,reference
446,4,474,19.451355746407764,5.696399595288413,1.0,5.696399595288413,0.0,3.2103877989950518,0.8250000000000001,Bud0b,198.42221537596726,False,1.0,deep_tropical,reference
403,4,412,29.74471509117091,4.657397321168831,1.0,4.597763155664668,0.30000000000000004,3.367857187106157,1.0,Bud0b,19.34940508526907,True,0.0833333333333333,deep_tropical,LCS
391,4,315,45.43489592267543,25.032763995424695,1.0,23.446663680211312,1.0,21.608775003190317,0.8250000000000001,Bud0b,378.1536192715773,False,0.0833333333333333,deep_tropical,LCS
921,4,546,7.739185803085676,6.632264508167315,0.675,6.520892208690062,0.625,4.990049712402502,0.775,Bud0b,15.957262570553482,True,0.0833333333333333,deep_tropical,LCS
1733,4,333,11.953093263807649,11.953093263807649,0.0,11.953093263807649,0.0,9.368630973126164,1.0,Bud0b,33.50245673062629,True,0.0833333333333333,deep_tropical,LCS
1802,3,542,14.756531275195334,7.00767571168302,0.8500000000000001,7.001692801773123,0.125,6.559466271846247,0.65,Bud0b,23.568775697042113,True,1.0,deep_tropical,reference
1816,4,522,14.898392041534084,11.880797271642626,0.8250000000000001,11.880797271642626,0.0,11.69346079027344,0.375,Bud0b,7.876596180499262,True,0.0833333333333333,deep_tropical,LCS
2095,4,280,13.089397211871463,8.494834132587378,1.0,8.494834132587378,0.0,8.494834132587378,0.0,Bud0b,11.108571181351355,True,0.0,deep_tropical,LCS
2063,3,546,28.07860443450826,7.47695809330188,1.0,7.47695809330188,0.0,7.47695809330188,0.0,Bud0b,8.14359117018883,True,0.4545454545454545,deep_tropical,LCS
2106,3,442,11.118383674211197,9.801997970647195,0.925,9.801723997351697,0.025,5.832288724951545,0.8,Bud0b,35.73773654645156,True,1.0,deep_tropical,reference
