city,budget,n_stations,param,true,mle,lo95,hi95,box_fraction,saturated,n_under,grid,lo_at_bound,hi_at_bound,status
medellin,Bud1,2,kappa,0.15,0.3,0.061873990681820715,0.5741911287294119,0.854,False,20,25,False,False,weak
medellin,Bud1,2,a_cap,0.5,0.5333333333333333,0.3109528561953105,0.7963898166169665,0.335,False,8,25,False,False,identified
medellin,Bud1,2,eps0,3.69,6.5,0.0,9.254935391370557,0.771,False,19,25,True,False,weak
medellin,Bud1,2,w_evening,0.4,1.0,0.2805586469870508,1.0,0.719,True,18,25,False,True,weak
medellin,Bud1,2,s_exp,1.0,0.8229166666666666,0.7311943931543694,1.0245278226366197,0.107,False,2,25,False,False,identified
medellin,Bud2,8,kappa,0.15,0.19999999999999998,0.07075921392315807,0.31376724280718915,0.405,False,10,25,False,False,weak
medellin,Bud2,8,a_cap,0.5,0.47291666666666665,0.34130459511324013,0.5535283069748591,0.146,False,4,25,False,False,identified
medellin,Bud2,8,eps0,3.69,5.5,0.0,7.455890855415452,0.621,False,15,25,True,False,weak
medellin,Bud2,8,w_evening,0.4,0.08333333333333333,0.0,0.5244542154039941,0.524,False,13,25,True,False,weak
medellin,Bud2,8,s_exp,1.0,1.0520833333333333,0.9593470995057014,1.1290657253585374,0.062,False,1,25,False,False,grid-limited
medellin,Bud3,8,kappa,0.15,0.15,0.018518698478995236,0.3106362787663673,0.487,False,12,25,False,False,weak
medellin,Bud3,8,a_cap,0.5,0.47291666666666665,0.3709720669656285,0.6115314346428863,0.166,False,4,25,False,False,identified
medellin,Bud3,8,eps0,3.69,4.5,0.0,6.530065813952739,0.544,False,14,25,True,False,weak
medellin,Bud3,8,w_evening,0.4,0.875,0.11205306860162764,1.0,0.888,False,22,25,False,True,weak
medellin,Bud3,8,s_exp,1.0,0.9375,0.8744548722183543,1.0412154117622572,0.061,False,1,25,False,False,grid-limited
kathmandu,Bud1,2,kappa,0.15,0.6,0.0,0.6,1.0,True,25,25,True,True,UNIDENTIFIED
kathmandu,Bud1,2,a_cap,0.5,0.05,0.05,0.6856837128562467,0.438,True,11,25,True,False,weak
kathmandu,Bud1,2,eps0,3.69,12.0,0.0,12.0,1.0,True,25,25,True,True,UNIDENTIFIED
kathmandu,Bud1,2,w_evening,0.4,0.0,0.0,1.0,1.0,True,25,25,True,True,UNIDENTIFIED
kathmandu,Bud1,2,s_exp,1.0,0.7083333333333333,0.3377443587301432,1.0888854075877703,0.273,False,7,25,False,False,identified
kathmandu,Bud2,8,kappa,0.15,0.19999999999999998,0.0,0.6,1.0,False,25,25,True,True,UNIDENTIFIED
kathmandu,Bud2,8,a_cap,0.5,0.05,0.05,0.2701632675298931,0.152,True,4,25,True,False,identified
kathmandu,Bud2,8,eps0,3.69,6.0,0.0,11.555872062955217,0.963,False,24,25,True,False,UNIDENTIFIED
kathmandu,Bud2,8,w_evening,0.4,0.9583333333333333,0.0,1.0,1.0,False,25,25,True,True,UNIDENTIFIED
kathmandu,Bud2,8,s_exp,1.0,1.0520833333333333,0.7272673323020882,1.4035488613313964,0.246,False,6,25,False,False,identified
kathmandu,Bud3,8,kappa,0.15,0.12499999999999999,0.0,0.6,1.0,False,25,25,True,True,UNIDENTIFIED
kathmandu,Bud3,8,a_cap,0.5,0.5333333333333333,0.311343432109918,0.6946889296160645,0.264,False,6,25,False,False,identified
kathmandu,Bud3,8,eps0,3.69,0.0,0.0,10.579832627636168,0.882,True,22,25,True,False,weak
kathmandu,Bud3,8,w_evening,0.4,0.5833333333333333,0.0,1.0,1.0,False,25,25,True,True,UNIDENTIFIED
kathmandu,Bud3,8,s_exp,1.0,1.1666666666666665,0.7962133492301902,1.455547741279292,0.24,False,6,25,False,False,identified
chiangmai,Bud1,2,kappa,0.15,0.27499999999999997,0.0,0.6,1.0,False,25,25,True,True,UNIDENTIFIED
chiangmai,Bud1,2,a_cap,0.5,0.59375,0.05,1.5,1.0,False,25,25,True,True,UNIDENTIFIED
chiangmai,Bud1,2,eps0,3.69,4.5,0.0,12.0,1.0,False,25,25,True,True,UNIDENTIFIED
chiangmai,Bud1,2,w_evening,0.4,0.29166666666666663,0.0,1.0,1.0,False,25,25,True,True,UNIDENTIFIED
chiangmai,Bud1,2,s_exp,1.0,0.9375,0.6420902506947446,1.2350544662546814,0.216,False,5,25,False,False,identified
chiangmai,Bud2,8,kappa,0.15,0.0,0.0,0.24314221486529958,0.405,True,10,25,True,False,weak
chiangmai,Bud2,8,a_cap,0.5,0.59375,0.3762419175570555,0.8510764422140836,0.327,False,12,25,False,False,identified
chiangmai,Bud2,8,eps0,3.69,5.0,0.0,7.938517742381628,0.662,False,16,25,True,False,weak
chiangmai,Bud2,8,w_evening,0.4,0.0,0.0,0.8214044298350148,0.821,True,20,25,True,False,weak
chiangmai,Bud2,8,s_exp,1.0,1.0520833333333333,0.8661845167962915,1.1288083813254621,0.095,False,2,25,False,False,identified
chiangmai,Bud3,8,kappa,0.15,0.0,0.0,0.40982594559767643,0.683,True,17,25,True,False,weak
chiangmai,Bud3,8,a_cap,0.5,0.6541666666666667,0.36936233289283593,1.0568816791231685,0.474,False,11,25,False,False,weak
chiangmai,Bud3,8,eps0,3.69,4.5,0.0,7.729923701154533,0.644,False,16,25,True,False,weak
chiangmai,Bud3,8,w_evening,0.4,0.75,0.0,1.0,1.0,False,25,25,True,True,UNIDENTIFIED
chiangmai,Bud3,8,s_exp,1.0,0.9375,0.769270176587196,1.2085377522300793,0.16,False,4,25,False,False,identified
