city,window,n_steps,med_stations,p90_p10,max_min
medellin,1h,36447,17.0,2.53,4.75
medellin,3h,12241,18.0,2.165,3.506
medellin,8h,4641,18.0,1.905,2.825
medellin,24h,1587,18.0,1.71,2.459
medellin,weekly,238,18.0,1.57,2.162
medellin,monthly,61,18.0,1.506,2.013
medellin,annual,6,18.5,1.495,2.004
kathmandu,1h,2349,26.0,1.841,3.022
kathmandu,3h,810,26.0,1.724,2.636
kathmandu,8h,312,26.0,1.537,2.362
kathmandu,24h,106,28.0,1.379,2.01
kathmandu,weekly,16,29.0,1.292,1.77
kathmandu,monthly,5,33.0,1.262,2.011
chiangmai,1h,16837,19.0,1.817,3.456
chiangmai,3h,5801,20.0,1.756,3.28
chiangmai,8h,2206,20.0,1.652,2.975
chiangmai,24h,741,20.0,1.558,2.668
chiangmai,weekly,107,21.0,1.476,2.527
chiangmai,monthly,27,22.0,1.486,2.533
